"symbol","company","weight","sector","shares_held"
"TEL","TE Connectivity Ltd.",0.00133213810547499,"Information Technology",4053668
"GLW","Corning Inc",0.00133064712266385,"Information Technology",10635189
"CCL.U","Carnival Corporation",0.00132921617942899,"Consumer Discretionary",4794688
"WDC","Western Digital Corporation",0.00130122773028297,"Information Technology",3341520
"ILMN","Illumina Inc.",0.00129105102210224,"Health Care",1670216
"MPC","Marathon Petroleum Corporation",0.0012910210023141,"Energy",6008758
"FISV","Fiserv Inc.",0.00128030393794678,"Information Technology",2459002
"STI","SunTrust Banks Inc.",0.00127887299471192,"Financials",5631793
"AVB","AvalonBay Communities Inc.",0.00127427996712593,"Real Estate",1574183
"PXD","Pioneer Natural Resources Company",0.00126633472986388,"Energy",1946601
"LYB","LyondellBasell Industries NV",0.001265314057067,"Materials",3783092
"PPL","PPL Corporation",0.00126242215080915,"Utilities",7792869
"EIX","Edison International",0.00124715208524003,"Utilities",3735297
"ZBH","Zimmer Biomet Holdings Inc.",0.00124164845741367,"Health Care",2305506
"PGR","Progressive Corporation",0.0012343236291066,"Financials",6665014
"NWL","Newell Brands Inc",0.00122792941423198,"Consumer Discretionary",5542908
"ED","Consolidated Edison Inc.",0.00122329636026179,"Utilities",3497344
"WY","Weyerhaeuser Company",0.00122308622174479,"Real Estate",8587191
"APC","Anadarko Petroleum Corporation",0.00121240918376166,"Energy",6386982
"EW","Edwards Lifesciences Corporation",0.00121223907162885,"Health Care",2418373
"VTR","Ventas Inc.",0.00121100826031495,"Real Estate",4047298
"YUM","Yum! Brands Inc.",0.0012021224030244,"Consumer Discretionary",3851153
"CAH","Cardinal Health Inc.",0.00120200232387183,"Health Care",3615895
"HCA","HCA Healthcare Inc",0.00118991435584594,"Health Care",3307238
"SYY","Sysco Corporation",0.0011855814997572,"Consumer Staples",5692684
"EQR","Equity Residential",0.00118014791810318,"Real Estate",4208823
"LRCX","Lam Research Corporation",0.00117817661868174,"Information Technology",1860604
"CMI","Cummins Inc.",0.00117717595907694,"Industrials",1773044
"MTB","M&T Bank Corporation",0.0011636770610083,"Financials",1767159
"AAL","American Airlines Group Inc.",0.00114683595985966,"Industrials",5652683
"XEL","Xcel Energy Inc.",0.00114552509577738,"Utilities",5825923
"WMB","Williams Companies Inc.",0.00113575865803462,"Energy",9469059
"CBS","CBS Corporation Class B",0.00113143580854192,"Consumer Discretionary",4263471
"IR","Ingersoll-Rand Plc",0.00113036510276479,"Industrials",2974791
"ROP","Roper Technologies Inc.",0.00112807359226982,"Industrials",1167960
"ADM","Archer-Daniels-Midland Company",0.00112410097363879,"Consumer Staples",6546165
"IP","International Paper Company",0.00112359063724035,"Materials",4737344
"DLPH","Delphi Automotive PLC",0.00110820049251865,"Consumer Discretionary",3087634
"DFS","Discover Financial Services",0.00110654940417075,"Financials",4417608
"APH","Amphenol Corporation Class A",0.00110439798602045,"Information Technology",3525820
"INCY","Incyte Corporation",0.00110184630402823,"Health Care",1937965
"BHI","Baker Hughes Incorporated",0.00109963484630164,"Energy",4881972
"BCR","C. R. Bard Inc.",0.00109784366560906,"Health Care",832795
"SYF","Synchrony Financial",0.00106697331680124,"Financials",8828018
"DXC","DXC Technology Co.",0.00106503203716794,"Information Technology",3253669
"ROST","Ross Stores Inc.",0.00106078924044362,"Consumer Discretionary",4517065
"PEG","Public Service Enterprise Group Inc",0.0010548953553714,"Utilities",5803398
"PCAR","PACCAR Inc",0.00104910153625966,"Industrials",4022788
"SWK","Stanley Black & Decker Inc.",0.00104412825802384,"Industrials",1749544
"EL","Estee Lauder Companies Inc. Class A",0.0010392950721327,"Consumer Staples",2568444
"UAL","United Continental Holdings Inc.",0.00103587281628431,"Industrials",3233409
"PH","Parker-Hannifin Corporation",0.00101389833136308,"Industrials",1522428
"ADSK","Autodesk Inc.",0.00100968555442691,"Information Technology",2246101
"MNST","Monster Beverage Corporation",0.00100516257301325,"Consumer Staples",4634227
"ROK","Rockwell Automation Inc.",0.00100291108890247,"Industrials",1482160
"KR","Kroger Co.",0.000998328067912526,"Consumer Staples",10588267
"NTRS","Northern Trust Corporation",0.000967237573991648,"Financials",2466135
"ORLY","O'Reilly Automotive Inc.",0.000964135529216794,"Consumer Discretionary",1050062
"WEC","WEC Energy Group Inc",0.000958631901390439,"Utilities",3620868
"MCO","Moody's Corporation",0.000958361723297146,"Financials",1913333
"CERN","Cerner Corporation",0.000958161591376188,"Health Care",3361624
"KEY","KeyCorp",0.000939069006116762,"Financials",12574843
"ES","Eversource Energy",0.000934726143431966,"Utilities",3599202
"DTE","DTE Energy Company",0.000934505998318912,"Utilities",2057096
"OMC","Omnicom Group Inc",0.000928151809828485,"Consumer Discretionary",2700909
"BXP","Boston Properties Inc.",0.000924819613344528,"Real Estate",1765353
"AMP","Ameriprise Financial Inc.",0.000924699534191953,"Financials",1765395
"FTV","Fortive Corp.",0.00092288834030728,"Industrials",3451030
"A","Agilent Technologies Inc.",0.000922818294134945,"Health Care",3700775
"SWKS","Skyworks Solutions Inc.",0.000922818294134945,"Information Technology",2119538
"DLR","Digital Realty Trust Inc.",0.000921857660914345,"Real Estate",1833123
"PAYX","Paychex Inc.",0.000909399448834688,"Information Technology",3679597
"HIG","Hartford Financial Services Group Inc.",0.000904846447632886,"Financials",4215483
"MCHP","Microchip Technology Incorporated",0.00089594057715024,"Information Technology",2632098
"WLTW","Willis Towers Watson Public Limited Company",0.000895420234155748,"Financials",1476521
"RCL","Royal Caribbean Cruises Ltd.",0.000891677767233827,"Consumer Discretionary",1910697
"EXPE","Expedia Inc.",0.000889486322699334,"Consumer Discretionary",1380594
"FITB","Fifth Third Bancorp",0.000884463011483279,"Financials",8597020
"NUE","Nucor Corporation",0.000876898024871054,"Materials",3655448
"TSN","Tyson Foods Inc. Class A",0.000870053513174279,"Consumer Staples",3321364
"TROW","T. Rowe Price Group",0.000866391099020742,"Financials",2816240
"VFC","V.F. Corporation",0.000865520525164573,"Consumer Discretionary",3676417
"NEM","Newmont Mining Corporation",0.00086298885636445,"Materials",6118101
"RHT","Red Hat Inc.",0.000855984239130908,"Information Technology",2063731
"MYL","Mylan N.V.",0.00085237185795761,"Health Care",5234663
"SYMC","Symantec Corporation",0.000848039001868862,"Information Technology",7124800
"CLX","Clorox Company",0.00084780885015976,"Consumer Staples",1462923
"DG","Dollar General Corporation",0.000847228467588981,"Consumer Discretionary",2911489
"K","Kellogg Company",0.000841834912319153,"Consumer Staples",2859748
"CFG","Citizens Financial Group Inc.",0.00083959343480442,"Financials",5834906
"LVLT","Level 3 Communications Inc.",0.000839213184154599,"Telecommunication Services",3349243
"ESS","Essex Property Trust Inc.",0.000834570123588366,"Real Estate",752634
"APA","Apache Corporation",0.000833799615692676,"Energy",4337179
"VMC","Vulcan Materials Company",0.00083118789412417,"Materials",1506707
"CXO","Concho Resources Inc.",0.000825524160761049,"Energy",1698778
"DPS","Dr Pepper Snapple Group Inc.",0.00081869966225637,"Consumer Staples",2112144
"COL","Rockwell Collins Inc.",0.000814747056817442,"Industrials",1860984
"XLNX","Xilinx Inc.",0.000811514926293965,"Information Technology",2880429
"EFX","Equifax Inc.",0.000799366918691794,"Industrials",1374588
"PFG","Principal Financial Group Inc.",0.000796675144354904,"Financials",3051436
"ULTA","Ulta Beauty Inc",0.000792692519127833,"Consumer Discretionary",667364
"AZO","AutoZone Inc.",0.000790941364819448,"Consumer Discretionary",329725
"RF","Regions Financial Corporation",0.000782065514124946,"Financials",13814102
"VNO","Vornado Realty Trust",0.000775210995832123,"Real Estate",1972961
"DVN","Devon Energy Corporation",0.000766985573880735,"Energy",6031596
"TAP","Molson Coors Brewing Company Class B",0.000764543964445043,"Consumer Staples",2118589
"ABC","AmerisourceBergen Corporation",0.000761632044995099,"Health Care",1905241
"DLTR","Dollar Tree Inc.",0.000754557381589222,"Consumer Discretionary",2715685
"MTD","Mettler-Toledo International Inc.",0.000747292592858434,"Health Care",298715
"FCX","Freeport-McMoRan Inc.",0.000742619512504057,"Materials",15136304
"HSY","Hershey Company",0.000738436755356028,"Consumer Staples",1611874
"MHK","Mohawk Industries Inc.",0.000738356702587645,"Consumer Discretionary",717977
"HCP","HCP Inc.",0.000738276649819261,"Real Estate",5299805
"CAG","Conagra Brands Inc.",0.000736015159112432,"Consumer Staples",4738615
"LH","Laboratory Corporation of America Holdings",0.000735014499507641,"Health Care",1161984
"KLAC","KLA-Tencor Corporation",0.000734203965227759,"Information Technology",1796686
"BEN","Franklin Resources Inc.",0.00072780975035314,"Financials",3966637
"DGX","Quest Diagnostics Incorporated",0.00072084515950379,"Health Care",1575059
"O","Realty Income Corporation",0.000717382877271211,"Real Estate",3110563
"BBY","Best Buy Co. Inc.",0.000714450944629171,"Consumer Discretionary",3103469
"LNC","Lincoln National Corporation",0.000709187475107967,"Financials",2613211
"WAT","Waters Corporation",0.000709067395955392,"Health Care",916368
"XRAY","DENTSPLY SIRONA Inc.",0.000707536386760061,"Health Care",2656541
"RSG","Republic Services Inc.",0.000705785232451675,"Industrials",2641667
"BLL","Ball Corporation",0.000705064757536225,"Materials",4017129
"IDXX","IDEXX Laboratories Inc.",0.000703773906646044,"Health Care",1008020
"INFO","IHS Markit Ltd.",0.000702623148100533,"Industrials",3617936
"ADS","Alliance Data Systems Corporation",0.000699310964808673,"Information Technology",641611
"HSIC","Henry Schein Inc.",0.000697419718155617,"Health Care",907685
"CNC","Centene Corporation",0.000693937422730942,"Health Care",1976631
"AWK","American Water Works Company Inc.",0.000692026162885789,"Utilities",2044562
"MLM","Martin Marietta Materials Inc.",0.000691585872659681,"Materials",726202
"DISH","DISH Network Corporation Class A",0.000690625239439081,"Consumer Discretionary",2591009
"MSI","Motorola Solutions Inc.",0.000688553874057162,"Information Technology",1861956
"IVZ","Invesco Ltd.",0.000685541888646739,"Financials",4698900
"WRK","WestRock Co.",0.000684751367558954,"Materials",2863923
"SJM","J. M. Smucker Company",0.000681629309592004,"Consumer Staples",1353399
"ETR","Entergy Corporation",0.000677736743729364,"Utilities",2056586
"WHR","Whirlpool Corporation",0.000671592693755943,"Consumer Discretionary",853174
"AME","AMETEK Inc.",0.000669091044743964,"Industrials",2653947
"GPN","Global Payments Inc.",0.000663647456493897,"Information Technology",1743082
"HST","Host Hotels & Resorts Inc.",0.000662856935406112,"Real Estate",8487314
"HRS","Harris Corporation",0.000657593465884907,"Information Technology",1415054
"TSO","Tesoro Corporation",0.000657383327367901,"Energy",1707524
"WFM","Whole Foods Market Inc.",0.000655311961985982,"Consumer Staples",3657562
"HBAN","Huntington Bancshares Incorporated",0.000653150537239632,"Financials",12317521
"GGP","GGP Inc.",0.000650598855247414,"Real Estate",6588267
"CHD","Church & Dwight Co. Inc.",0.000648797667958788,"Consumer Staples",2932001
"AEE","Ameren Corporation",0.00064240345308417,"Utilities",2752617
"GPC","Genuine Parts Company",0.00064230338712369,"Consumer Discretionary",1696683
"CTL","CenturyLink Inc.",0.000641242687942611,"Telecommunication Services",6296670
